id,first_name,last_name,email,gender,dob,teacher
1,Uriah,Disbrow,mdisbrow0@google.com.au,Female,2021-04-21,Mallorie
2,Garek,Millar,smillar1@nytimes.com,Female,2022-01-06,Sandor
3,Abramo,Tal,gtal2@etsy.com,Male,2021-03-24,Gifford
4,Dolph,Wogden,hwogden3@businesswire.com,Male,2021-10-04,Hedwiga
5,Rolf,Woolveridge,twoolveridge4@cam.ac.uk,Female,2021-08-18,Tressa
6,Neddy,Houten,thouten5@go.com,Female,2022-01-13,Tracey
7,Datha,Brody,jbrody6@sphinn.com,Female,2021-08-01,Janka
8,Hughie,Newson,jnewson7@hp.com,Male,2021-06-14,Jordain
9,Gwen,Valti,bvalti8@ow.ly,Male,2022-01-10,Britney
10,Jolee,O' Concannon,eoconcannon9@ucsd.edu,Female,2021-04-23,Elysha
